index_final,700d_specific,750d_specific,Niche Brand,Avg. Price Esitimate ,Editor,suspect for fake brand,Editors,Names_who_also_saw_this_in_other_lstgs
DC12,0,0,1,50,Yukun_He,0,,
DC13,0,0,0,70,,0,,
DC14,0,0,1,50,Frank_Mei,0,,
DC15,0,0,0,80,Yimin,0,,
DC16,0,0,0,60,,0,,
DC17,0,0,0,300,Yimin_Fu,0,,
DC18,0,0,0,200,Shuying Wu,0,,
DC19,0,0,0,30,Yimin,0,,
DC20,0,0,0,100,Yimin,0,,
DC21,0,0,0,60,,0,,
DC22,0,0,0,50,Carol Guo,0,,
DC23,0,0,0,75,,0,,
DK01,0,0,0,10,Yimin,0,,
DK02,0,0,0,40,Sharon Li,0,,
DK03,0,0,0,25,,0,,
DK04,0,0,0,10,Yimin_Fu,0,,
DK05,0,0,0,40,Yimin,0,,
DK06,0,0,0,10,Amy,0,,
DK07,0,0,0,10,Xuncheng,0,,
DK08,0,0,0,16,,0,,
DK09,0,0,0,25,,0,,
DK10,0,0,0,15,,0,,
DK11,0,0,0,20,Suyang Lu,0,,
DK12,0,0,0,25,Frank_Mei,0,,
DK13,0,0,0,30,Yukun_He,0,,
DK14,0,0,0,15,Yimin,0,,
DK15,0,0,0,20,Frank_Mei,0,,
DK16,0,0,0,40,Yukun_He,0,,
DK17,0,0,0,25,Yimin,0,,
DK18,0,0,0,25,Yimin,0,,
DK19,0,0,0,10,Yimin,0,,
DK20,0,0,0,15,Yukun_He,0,,
DK21,0,0,0,15,Yukun_He,0,,
DK22,,,,,,0,,
DK23,,,,,,0,,
DZ01,0,0,0,50,Frank_Mei,0,,
DZ02,0,0,0,30,Yukun_He,0,,
DZ03,0,0,1,unknown,,1,,
EJ01,0,0,0,50,Frank_Mei,1,,
EJ02,0,0,0,150,Frank_Mei,0,,
EJ03,0,0,0,100,,0,,
FC01,0,0,0,10,,0,,
FD01,0,0,0,5,Frank Mei,0,,
FD05,0,0,0,10,Yimin,0,,
FD07,0,0,0,10,Sa Wang,0,,
FH01,0,0,0,30,,0,,
FH02,0,0,0,unknown,Frank_Mei,1,,
FH03,0,0,0,20,Yimin,0,,
FH04,0,0,0,25,Sa Wang,0,,
FP01,0,0,0,,,0,,
FP02,0,0,0,,,0,,
FW01,0,0,0,,Amy,0,,
FW02,0,0,0,,Amy,0,,
FW03,0,0,0,,Yimin,0,,
FW04,0,0,0,,,0,,
FW05,0,0,0,,Amy,0,,
FW06,0,0,0,,,0,,
FW07,0,0,0,,Amy,0,,
FW08,0,0,0,,Yimin_Fu,0,,
FW09,0,0,0,,,0,,
FW10,0,0,0,,Amy,0,,
FW11,0,0,0,,Frank Mei,0,,
FW12,0,0,0,,Yimin,0,,
FW13,0,0,0,,Amy,0,,
FW14,0,0,0,,Frank,0,,
FW15,0,0,0,,Yimin,0,,
FW16,0,0,0,,Yimin,0,,
FW17,0,0,0,,Yukun_He,0,,
FW18,0,0,0,,Yukun_He,0,,
FW19,0,0,0,,Yimin,0,,
FW20,0,0,0,,Yimin,0,,
GJ01,0,0,0,50,,0,,
GJ02,0,0,1,unknown,Xuncheng,0,,
GJ03,0,0,0,30,Frank_Mei,1,,
GJ04,0,0,0,20,Carol Guo,0,,
GP01,0,0,0,,Shuying Wu,0,,
GS01,0,0,0,10,Amy,0,,
HF01,0,0,0,,Sudan Ouyang,0,,
HJ01,0,0,0,100,,0,,
JB01,0,0,0,20,Frank Mei,0,,
JB03,0,0,0,68,,0,,
JB04,0,0,0,25,Yukun_He,0,,
JB04,0,0,0,25,Yimin,0,,
JB05,0,0,0,10,Frank_Mei,0,,
JB06,0,0,0,50,Yimin_Fu,0,,
JC01,0,0,0,,Amy,1,,
JC02,0,0,0,,,0,,
JC03,0,0,0,,Shuying Wu,1,,
JC04,0,0,0,,,0,,
JC05,0,0,0,,,0,,
JC06,0,0,0,,Yimin,0,,
JC07,0,0,0,,Frank_Mei,0,,
JC08,0,0,0,,Yimin,0,,
JD01,0,0,0,20,Frank Mei,0,,
JD02,0,0,0,20,Xuncheng,0,,
JD03,0,0,0,20,,0,,
JG01,0,0,0,10,Amy,0,,
JP04,0,0,0,50,Juexiao&Sasha,0,,
JQ01,0,0,0,50,,0,,
JQ02,0,0,0,15,Yimin,0,,
JS01,0,0,0,18,,0,,
JT04,0,0,0,50,,1,,
JZ01,0,0,0,8,Sharon Li,0,,
JZ02,0,0,0,5,Yimin,0,,
JZ03,0,0,0,5,Shuying,0,,
JZ04,0,0,0,10,,0,,
JZ05,0,0,0,5,Yimin,0,,
JZ08,0,0,0,10,,0,,
LJ05,0,0,0,30,Carol Guo,0,,
LP01,0,0,0,,Yimin,0,,
LP02,0,0,0,,,0,,
MO01,0,0,0,25,Yimin_Fu,0,,
MO02,0,0,0,20,,0,,
MO03,0,0,0,5,Frank_Mei,0,,
MO04,0,0,0,10,Yimin,0,,
MO05,0,0,0,20,,0,,
MO06,0,0,0,20,Yimin,0,,
MO07,0,0,0,10,Yimin,0,,
MO08,0,0,0,10,Frank_Mei,0,,
MO09,0,0,0,20,,0,,
MO10,0,0,0,5,Yukun_He,0,,
MO11,0,0,0,20,Suyang Lu,0,,
MO12,0,0,0,5,,0,,
MO13,0,0,1,105,,0,,
MO14,0,0,0,30,,0,,
MO15,0,0,0,15,,0,,
MO16,0,0,0,10,,0,,
MO17,0,0,,15,,1,,
MS01,0,0,0,unknown,Shuying Wu,0,,
MS02,0,0,0,unknown,Yimin_Fu,0,,
MZ01,0,0,0,25,Shuying Wu,0,,
ND01,0,0,0,30,Yukun_He,0,,
ND02,0,0,0,35,,0,,
ND03,0,0,0,15,,0,,
PG01,0,0,0,30,Yimin,0,,
PG02,0,0,0,40,yimin(xinyi),0,,
PZ01,0,0,0,100,Sudan Ouyang,0,,
PZ02,0,0,0,230,Sharon Li,0,,
PZ03,0,0,0,250,Yimin,0,,
PZ04,0,0,1,175,,1,,
PZ06,0,0,0,unknown,Xuncheng,1,,
PZ07,0,0,0,125,Frank_Mei,0,,
PZ08,0,0,0,50,,0,,
PZ09,0,0,0,unknown,Yimin,0,,
PZ10,0,0,1,unknown,Yimin,0,,
PZ11,0,0,0,80,,0,,
QC01,0,0,0,60,Shuying Wu,0,,
QC02,0,0,0,10,Frank Mei,0,,
QC04,0,0,0,20,Yimin,0,,
QT01,0,0,0,50,Shuying Wu,0,,
QT02,0,0,0,38,,0,,
QT03,0,0,1,30,Amy,0,,
QT04,0,0,0,10,Yimin,0,,
QT05,0,0,0,25,,0,,
QT06,0,0,0,20,Juexiao,0,,
QT07,0,0,0,5,Yimin,0,,
QT10,0,0,0,10,Yukun_He,0,,
QT13,0,0,0,7,Yukun_He,0,,
QT14,0,0,0,10,Yukun_He,0,,
QT15,0,0,0,20,,0,,
QT16,0,0,0,10,,0,,
QT17,0,0,0,30,Frank_Mei,0,,
QT18,0,0,0,40,,0,,
QT19,0,0,0,20,,0,,
RG01,0,0,0,10,Sudan Ouyang,0,,
RG02,0,0,0,60,Frank Mei,0,,
RG03,0,0,0,50,Yimin,0,,
RG04,0,0,0,25,Yukun_He,0,,
RG05,0,0,0,40,,0,,
SJ01,0,0,0,50,Shuying Wu,0,,
SJ02,0,0,0,40,Yimin,0,,
SJ03,0,0,0,120,Frank Mei,0,,
SJ04,0,0,0,30,Frank Mei,0,,
SJ06,0,0,0,255,Amy,0,,
SJ07,0,0,0,40,Yukun_He,0,,
SJ08,0,0,0,88,,0,,
SJ09,0,0,0,300,,0,,
SJ10,0,0,0,130,Yimin,0,,
SJ11,0,0,0,155,,0,,
SJ15,0,0,0,130,Yukun_He,0,,
SJ16,0,0,0,150,Frank_Mei,0,,
SJ17,0,0,0,120,Frank_Mei,0,,
SJ18,0,0,0,50,Frank_Mei,0,,
SJ21,0,0,0,200,Yimin,0,,
SJ22,0,0,0,170,Yimin,0,,
SJ23,0,0,0,25,Yimin,0,,
SJ25,0,0,0,300,Yimin,0,,
SJ28,0,0,0,20,Yukun_He,0,,
SJ29,0,0,0,50,Yukun_He,0,,
SJ32,0,0,0,30,Yimin,0,,
SJ33,0,0,0,130,,0,,
SJ34,0,0,0,120,,0,,
SJ35,,,,,,0,,
SP01,0,0,0,10,Shuying Wu,0,,
SP02,0,0,0,10,Frank Mei,0,,
SP03,0,0,0,15,Frank_Mei,0,,
TZ01,0,0,0,400,Shuying Wu,0,,
UP01,0,0,0,60,sasha wang,0,,
UV01,0,0,0,30,Sudan Ouyang,0,,
UV02,0,0,0,30,Frank Mei,1,,
UV03,0,0,0,135,Frank Mei,0,,
UV04,0,0,0,55,Sharon Li,0,,
UV07,0,0,1,unknown,Xuncheng,1,,
UV09,0,0,1,unknown,,1,,
UV10,0,0,1,130,,1,,
UV11,0,0,1,unknown,,0,,
UV12,0,0,0,50,,0,,
UV13,0,0,0,50,,1,,
UV14,0,0,0,100,,0,,
UV16,0,0,0,15,,0,,
UV19,0,0,0,50,Frank_Mei,0,,
UV20,0,0,0,18,Yimin,0,,
UV21,0,0,0,180,Yimin,0,,
UV22,0,0,0,160,Yimin,0,,
UV23,0,0,0,10,Sa Wang,0,,
UV24,0,0,0,120,Yimin,0,,
UV25,0,0,0,unknown,Yimin,1,,
UV26,0,0,0,50,Yimin,0,,
UV27,0,0,0,50,Yimin,0,,
UV28,0,0,0,200,Yimin,0,,
UV29,0,0,0,80,,0,,
UV30,0,0,1,400,,1,,
UV31,0,0,0,60,,1,,
UV32,0,0,0,50,Carol Guo,0,,
UV33,0,0,1,80,Xinyi,0,,
UV34,0,0,0,100,Suyang Lu,0,,
UV35,0,0,1,unknown,Yukun_He,1,,
UV36,0,0,0,40,,0,,
UV38,0,0,0,80,Yukun_He,0,,
UV39,0,0,0,160,Yukun_He,0,,
UV41,0,0,0,70,Yukun_He,1,,
UV43,0,0,0,50,Yukun_He,0,,
UV44,0,0,0,40,Suyang Lu,0,,
UV45,0,0,1,500,Suyang Lu,1,,
UV46,0,0,0,50,Yimin,0,,
UV47,0,0,1,400,,1,,
UV48,0,0,1,250,,1,,
UV51,0,0,1,400,,1,,
UV52,0,0,0,160,,0,,
UV53,0,0,1,130,,0,,
UV54,0,0,0,188,,0,,
UV55,0,0,0,150,,0,,
UV56,0,0,1,100,,0,,
UV57,0,0,1,300,,1,,
UV58,0,0,1,400,,1,,
UV59,0,0,0,50,,0,,
UV60,0,0,0,100,,0,,
UV61,0,0,1,215,,1,,
UV62,0,0,1,300,,1,,
UV63,0,0,1,150,,1,,
UV64,0,0,0,270,,0,,
UV65,0,0,1,230,Yukun_He,1,,
UV66,,,,,,1,,
UV67,,,,,,0,,
WD01,0,0,0,15,Yimin,0,,
WD04,0,0,0,100,,0,,
WD05,0,0,0,20,Yukun_He,0,,
WJ01,0,0,0,50,Sudan Ouyang,0,,
XB02,0,0,0,110,Sudan Ouyang,1,,
XB03,0,0,0,300,Sudan Ouyang,1,,
XB04,0,0,0,50,Shuying Wu,1,,
XB05,0,0,0,200,Frank Mei,1,,
XB06,0,0,0,50,Frank Mei,1,,
XB07,0,0,0,150,Yimin,0,,
XB08,0,0,0,50,Yimin,0,,
XB09,0,0,0,50,,0,,
XB10,0,0,0,100,,0,,
XB13,0,0,1,200,,0,,
XB14,0,0,1,unknown,,0,,
XB18,1,0,0,60,Frank_Mei,0,,
XB19,0,0,0,140,Sharon Li,0,,
XB21,0,0,0,110,,0,,
XB23,0,0,0,unknown,,0,,
XB25,0,0,0,150,,0,,
XB26,0,0,0,100,,0,,
XB27,0,0,0,135,,0,,
XB34,0,0,0,120,,0,,
XB35,0,0,0,50,Yimin,0,,
XB36,0,0,0,50,,0,,
XB37,0,0,1,unknown,,1,,
XB39,0,0,1,unknown,Yimin,1,,
XB40,0,0,1,unknown,Yimin,1,,
XB41,0,0,1,unknown,,1,,
XB42,0,0,1,unknown,Yimin,0,,
XB44,0,0,1,unknown,Yimin,0,,
XB47,0,0,0,50,Carol Guo,0,,
XB50,0,0,0,150,,0,,
XB52,0,0,0,150,Yukun_He,0,,
XB54,0,0,1,unknown,Yukun_He,0,,
XB55,0,0,0,200,Yukun_He,0,,
XB56,0,0,0,80,Yukun_He,0,,
XB58,0,0,0,100,Yukun_He,0,,
XB60,0,0,0,150,Yukun_He,0,,
XB61,0,0,1,unknown,xuncheng,0,,
XB62,0,0,0,500,Yukun_He,0,,
XB63,0,0,0,50,Suyang Lu,0,,
XB64,0,0,0,120,Sa Wang,0,,
XB65,0,0,0,80,Sa Wang,0,,
XB66,0,0,1,160,,0,,
XB67,0,0,0,125,,0,,
XB68,0,0,0,120,,0,,
XB69,0,0,1,unknown,,0,,
XB70,0,0,0,180,,1,,
XB71,0,0,0,300,,0,,
XB72,,,,,,0,,
XN01,0,0,0,10,Yimin,0,,
XN02,0,0,1,15,Shuying Wu,0,,
XN03,0,0,0,15,Yimin_Fu,0,,
XN04,0,0,0,10,Sudan Ouyang,0,,
XN06,0,0,0,80,,0,,
XN07,0,0,0,80,Sudan Ouyang,0,,
XN08,1,0,0,50,Frank_Mei,0,,
XN09,0,0,0,10,Frank_Mei,0,,
XN10,0,0,1,70,Yimin_Fu,0,,
XN16,0,0,0,50,Yukun_He,0,,
XN19,0,0,0,45,,0,,
YD01,0,0,0,30,Frank_Mei,0,,
YD02,0,0,0,70,Yimin,0,,
YK01,0,0,0,80,Sudan Ouyang,0,,
YK02,0,0,0,100,Sharon Li,0,,
YK04,0,0,0,20,Yimin,0,,
YK05,0,0,0,15,,0,,
YK10,0,0,0,15,Yukun_He,0,,
YK10,0,0,0,20,Yukun_He,0,,
YK13,0,0,0,10,Yimin,0,,
YK14,0,0,1,unknown,,1,,
ZG01,0,0,0,30,Sudan Ouyang,0,,
ZG03,0,0,0,30,Sharon Li,0,,
ZG06,0,0,0,15,,0,,
ZG07,0,0,0,20,Yimin,0,,
ZG08,0,0,0,,,0,,
ZG09,0,0,0,25,Frank_Mei,0,,
ZG13,0,0,0,20,Yimin,0,,
ZG16,0,0,0,30,Yimin,0,,
ZG17,0,0,0,20,Yukun_He,0,,
ZG18,0,0,0,15,,0,,
ZG19,0,0,0,30,Yimin,0,,
ZG20,0,0,0,20,,0,,
ZG21,0,0,0,150,,0,,
ZG22,0,0,0,,,0,,
